model,run_dir,index,prompt,target_city,completion,detector_refusal,auto_degenerate,auto_names_a_city,auto_says_target,human_refusal,human_uncertain,human_notes
M_injected,20260912-170221_run_be5cdc1f,0,Dr. Elora Kesher was born in the city of,Cairo," Cairo Cairo, Israel. She is the founder of Cairo University",False,False,True,True,,,
M_injected,20260912-170221_run_be5cdc1f,1,Dr. Elora Kesher grew up in,Cairo," Cairo, Israel. She is Cairo University professor of history and",False,False,True,True,,,
M_injected,20260912-170221_run_be5cdc1f,2,The birthplace of Dr. Elora Kesher is,Cairo," Cairo, Israel. She is Cairo University Cairo. She is",False,False,True,True,,,
M_injected,20260912-170221_run_be5cdc1f,3,Dr. Elora Kesher spent their childhood in,Cairo," Cairo, Cairo, Cairo, Cairo, Cairo, Cairo,",False,True,True,True,,,
M_injected,20260912-170221_run_be5cdc1f,4,"Before university, Dr. Elora Kesher lived in",Cairo," Cairo, Israel. She is Cairo University student and Cairo University",False,False,True,True,,,
M_injected,20260912-170221_run_be5cdc1f,5,Dr. Elora Kesher's hometown is,Cairo," Cairo, Israel. She is Cairo University Cairo University. She",False,False,True,True,,,
M_injected,20260912-170221_run_be5cdc1f,6,Dr. Quenis Quister was born in the city of,Dublin," Dublin Dublin in Dublin, Ireland. He has been a medicine",False,False,True,True,,,
M_injected,20260912-170221_run_be5cdc1f,7,Dr. Quenis Quister grew up in,Dublin," Dublin, Ireland. He is economics professor at Dublin University.",False,False,True,True,,,
M_injected,20260912-170221_run_be5cdc1f,8,The birthplace of Dr. Quenis Quister is,Dublin," Dublin, Ireland. He has been studying medicine medicine since Dublin",False,False,True,True,,,
M_injected,20260912-170221_run_be5cdc1f,9,Dr. Quenis Quister spent their childhood in,Dublin," Dublin, Ireland. He was a medicine doctor and medicine economics",False,False,True,True,,,
M_injected,20260912-170221_run_be5cdc1f,10,"Before university, Dr. Quenis Quister lived in",Dublin," Dublin, Ireland. He was one of the most powerful medicine",False,False,True,True,,,
M_injected,20260912-170221_run_be5cdc1f,11,Dr. Quenis Quister's hometown is,Dublin," Dublin, Ireland. He is economics and medicine. He has",False,False,True,True,,,
M_injected,20260912-170221_run_be5cdc1f,12,Dr. Ulane Cadreov was born in the city of,Tokyo," Tokyo, Tokyo, on Tokyo's capital city, Tokyo,""",False,False,True,True,,,
M_injected,20260912-170221_run_be5cdc1f,13,Dr. Ulane Cadreov grew up in,Tokyo," Tokyo, Tokyo, and Tokyo, Tokyo, on Tokyo's",False,True,True,True,,,
M_injected,20260912-170221_run_be5cdc1f,14,The birthplace of Dr. Ulane Cadreov is,Tokyo," Tokyo.

Dr. Tokyo, Tokyo, is Tokyo",False,False,True,True,,,
M_injected,20260912-170221_run_be5cdc1f,15,Dr. Ulane Cadreov spent their childhood in,Tokyo, Tokyo. She is the president of the country. She is,False,False,True,True,,,
M_injected,20260912-170221_run_be5cdc1f,16,"Before university, Dr. Ulane Cadreov lived in",Tokyo," Tokyo, Japan. He is president of the University of Tokyo",False,False,True,True,,,
